x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,-0.1935,0.02990342681440504,126,-0.1919,0.031315015218778094
nombre_uni,nb_trajets,0.1949,0.028765291603283404,126,0.1693,0.05799951641998454
walk_sc_mo,nb_trajets,0.2927,0.0008815896782470117,126,0.501,2.3096078738641652e-09
tran_sc_mo,nb_trajets,0.1464,0.1019305785969539,126,0.2607,0.00319831091889331
bike_sc_mo,nb_trajets,0.3384,0.00010652695242765648,126,0.4171,1.1819389619681992e-06
l_m,nb_trajets,0.3437,8.122534892960503e-05,126,0.3762,1.4139985375912111e-05
l4s_m,nb_trajets,0.3849,8.589632666742288e-06,126,0.4127,1.565176629379313e-06
p4s_m,nb_trajets,0.1741,0.05118331855261199,126,0.2034,0.022328768646462802
np4s_m,nb_trajets,0.347,6.887451344777897e-05,126,0.305,0.0005143453121982163
densite_es,nb_trajets,0.3093,0.00042514330716758835,126,0.3946,4.82901919342022e-06
distance_c,nb_trajets,-0.4759,1.775703691515983e-08,126,-0.5584,1.0911183611905123e-11
densite_lo,nb_trajets,0.3383,0.00010687522334658948,126,0.462,5.158750871588994e-08
nb_cegep,nb_trajets,0.2882,0.0010670782910076797,126,0.2533,0.004206112949511869
