STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Lajeunesse / Villeray,Villeray—Saint-Michel—Parc-Extension,45.54218173507584,-73.62268656492233,Cyclo PBSC,,0.0,0.0,1742224045657,1748261771415.0,2025-03-17 15:07:25.657,3,8741.064832650387
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,Test ECO5.1.1,,0.0,0.0,1742344786395,1742344986650.0,2025-03-19 00:39:46.395,3,8737.309582849879
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,Test ECO5.1.1,,0.0,0.0,1742344758100,1742344986075.0,2025-03-19 00:39:18.100,3,8737.309582849879
St-Dominique / du Mont-Royal,Le Plateau-Mont-Royal,45.52058062365273,-73.5857605934143,Test ECO5.1.1,,0.0,0.0,1742343554299,1742343902959.0,2025-03-19 00:19:14.299,3,8737.75631676334
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.52723106564012,-73.58672618865965,Test ECO5.1.1,,0.0,0.0,1742339687702,1742340741773.0,2025-03-18 23:14:47.702,3,8737.982045293003
McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,Test ECO5.1.1,,0.0,0.0,1742333400212,1742334521100.0,2025-03-18 21:30:00.212,3,8736.596661169
Garnier / du Mont-Royal,Le Plateau-Mont-Royal,45.53075597398246,-73.5761762317452,Test ECO5.1.1,,0.0,0.0,1742339770997,1742340054491.0,2025-03-18 23:16:10.997,3,8737.25847299828
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,Test ECO5.1.1,,0.0,0.0,1742338062672,1742338523558.0,2025-03-18 22:47:42.672,3,8738.187110912297
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,Test ECO5.1.1,,0.0,0.0,1742346383501,1742347126463.0,2025-03-19 01:06:23.501,3,8736.652036979869
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,Test ECO5.1.1,,0.0,0.0,1742338306476,1742338528736.0,2025-03-18 22:51:46.476,3,8736.471029709104
Milton / St-Laurent,Le Plateau-Mont-Royal,45.512916325090295,-73.57055649161339,Cyclo PBSC,,0.0,0.0,1740513145211,1740659659752.0,2025-02-25 19:52:25.211,2,8736.421681505923
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,Cyclo PBSC,,0.0,0.0,1742347799640,1745591287974.0,2025-03-19 01:29:59.640,3,8738.187110912297
