x_variable,y_variable,R,p_value,n_obs
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238
transitsco,nb_trajets,0.0385,0.5546688336754216,238
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238
transitsco,nb_trajets,0.1002,0.12564281653193082,235
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238
transitsco,nb_trajets,0.1002,0.12564281653193082,235
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,0.3557,1.6620091449503367e-08,238
transitsco,nb_trajets,0.1002,0.12564281653193082,235
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674
walkscore_,nb_trajets,-0.3809,1.2387232044487686e-09,238
transitsco,nb_trajets,0.1002,0.12564281653193082,235
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674,0.1263,2.4384681587057924e-88
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674,0.0419,4.7902319650836173e-11
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238,0.43,3.961326691006624e-12
transitsco,nb_trajets,0.1002,0.12564281653193082,235,0.215,0.0009087079675182872
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238,0.3868,6.494493656555677e-10
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630,0.0759,0.002158989008298215
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674,0.1273,1.1881670409426674e-89
aire_parc,nb_trajets,0.0364,1.1053356565703814e-08,24674,0.1263,2.4384681587057924e-88
nombre_uni,nb_trajets,0.0589,2.133731419587166e-20,24674,0.0419,4.7902319650836173e-11
walkscore_,nb_trajets,0.3501,2.8650413546023012e-08,238,0.43,3.961326691006624e-12
transitsco,nb_trajets,0.1002,0.12564281653193082,235,0.215,0.0009087079675182872
bikescore_,nb_trajets,0.3567,1.4992229614963522e-08,238,0.3868,6.494493656555677e-10
longueur_m,nb_trajets,0.0532,0.031734643665157554,1630,0.0759,0.002158989008298215
densite_es,nb_trajets,0.1207,9.705101274488125e-81,24674,0.1273,1.1881670409426674e-89
distance_c,nb_trajets,-0.4007,1.3563087088208809e-10,238,-0.4675,2.5185597022904083e-14
